2024-03-03 16:17:24,592 - INFO - torch_version:2.1.1+cpu
2024-03-03 16:17:25,667 - DEBUG - Epoch 0 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([1.])), ('gpr_list.0.kernel.length_scale', tensor([1.])), ('gpr_list.0.kernel.signal_variance', tensor([1.])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:25,982 - DEBUG - Epoch 27 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7404])), ('gpr_list.0.kernel.length_scale', tensor([0.7145])), ('gpr_list.0.kernel.signal_variance', tensor([1.0609])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:25,995 - DEBUG - Epoch 28 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7316])), ('gpr_list.0.kernel.length_scale', tensor([0.7025])), ('gpr_list.0.kernel.signal_variance', tensor([1.0734])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,009 - DEBUG - Epoch 29 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7228])), ('gpr_list.0.kernel.length_scale', tensor([0.6903])), ('gpr_list.0.kernel.signal_variance', tensor([1.0860])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,020 - DEBUG - Epoch 30 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7141])), ('gpr_list.0.kernel.length_scale', tensor([0.6780])), ('gpr_list.0.kernel.signal_variance', tensor([1.0989])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,035 - DEBUG - Epoch 31 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.7055])), ('gpr_list.0.kernel.length_scale', tensor([0.6655])), ('gpr_list.0.kernel.signal_variance', tensor([1.1119])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,047 - DEBUG - Epoch 32 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6970])), ('gpr_list.0.kernel.length_scale', tensor([0.6529])), ('gpr_list.0.kernel.signal_variance', tensor([1.1251])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,063 - DEBUG - Epoch 33 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6886])), ('gpr_list.0.kernel.length_scale', tensor([0.6402])), ('gpr_list.0.kernel.signal_variance', tensor([1.1385])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,081 - DEBUG - Epoch 34 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6802])), ('gpr_list.0.kernel.length_scale', tensor([0.6273])), ('gpr_list.0.kernel.signal_variance', tensor([1.1521])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,098 - DEBUG - Epoch 35 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6720])), ('gpr_list.0.kernel.length_scale', tensor([0.6142])), ('gpr_list.0.kernel.signal_variance', tensor([1.1659])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,113 - DEBUG - Epoch 36 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6638])), ('gpr_list.0.kernel.length_scale', tensor([0.6011])), ('gpr_list.0.kernel.signal_variance', tensor([1.1797])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,123 - DEBUG - Epoch 37 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6558])), ('gpr_list.0.kernel.length_scale', tensor([0.5878])), ('gpr_list.0.kernel.signal_variance', tensor([1.1938])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,134 - DEBUG - Epoch 38 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6478])), ('gpr_list.0.kernel.length_scale', tensor([0.5744])), ('gpr_list.0.kernel.signal_variance', tensor([1.2080])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,144 - DEBUG - Epoch 39 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6399])), ('gpr_list.0.kernel.length_scale', tensor([0.5609])), ('gpr_list.0.kernel.signal_variance', tensor([1.2222])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,154 - DEBUG - Epoch 40 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6321])), ('gpr_list.0.kernel.length_scale', tensor([0.5474])), ('gpr_list.0.kernel.signal_variance', tensor([1.2366])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
2024-03-03 16:17:26,165 - DEBUG - Epoch 41 - Model Parameters: OrderedDict([('gpr_list.0.log_beta', tensor([0.6244])), ('gpr_list.0.kernel.length_scale', tensor([0.5338])), ('gpr_list.0.kernel.signal_variance', tensor([1.2511])), ('gpr_list.1.log_beta', tensor([1.])), ('gpr_list.1.kernel.length_scale', tensor([1.])), ('gpr_list.1.kernel.signal_variance', tensor([1.])), ('gpr_list.2.log_beta', tensor([1.])), ('gpr_list.2.kernel.length_scale', tensor([1.])), ('gpr_list.2.kernel.signal_variance', tensor([1.])), ('rho_list.0', tensor(1.)), ('rho_list.1', tensor(1.))])
